id,text,label,severity,obd_code,language
1,Multiple Cylinder Misfire el moteur yrja3 chuga3 f waqt el wakfa khsara f el qowa daw el moteur dayer المحرك يرتجف ، اهتزاز عند التشغيل ، فقدان القوة ، ضوء المحرك مضيء. الأسباب المحتملة: spark plugs worn + ignition coil failure + fuel injector clogged + vacuum leak + low compression. moteur tremble ralenti rugueux perte de puissance voyant allumé Multiple Cylinder Misfire P0300,moteur,حرج,P0300,mixed_ar_fr_dz
2,Low Fuel Rail Pressure el moteur ykhnek saber ydemar dkhane khal rihet lessance المحرك يتعثر ، صعوبة التشغيل ، دخان أسود ، رائحة وقود. الأسباب المحتملة: fuel pump weak + fuel filter clogged + fuel pressure regulator failed + injector leak. moteur hoquète démarrage difficile fumée noire odeur essence Low Fuel Rail Pressure P0087,carburant,عالي,P0087,mixed_ar_fr_dz
3,Engine Overheating el ma7raka 7anna dkhane men el kapo rihet l'eau el moteur ma3adch ykhdem مؤشر الحرارة في الأحمر ، بخار من الغطاء ، رائحة سائل التبريد ، فقدان القدرة. الأسباب المحتملة: coolant leak + water pump failure + thermostat stuck + radiator blocked + head gasket blown. jauge température rouge vapeur du capot odeur liquide de refroidissement perte puissance Engine Overheating P0217,moteur,حرج,P0217,mixed_ar_fr_dz
4,Brake System Failure el frana rayga tomobile tnjerf sout el frana tewaqaf b3id دواسة الفرامل طرية ، السيارة تنجرف ، صوت طحن ، مسافة التوقف أطول. الأسباب المحتملة: brake pads worn + brake fluid low + brake disc warped + brake caliper seized + ABS failure. pédale molle voiture tire d'un côté bruit de grincement distance freinage augmentée Brake System Failure C0035,freinage,حرج,C0035,mixed_ar_fr_dz
5,Battery Discharge tomobile ma tbdach anwar daw3ifin el moteur ydemar b3as mushkilat el kahrabiya السيارة لا تشتغل ، إضاءة خافتة ، تشغيل بطيء ، مشاكل كهربائية. الأسباب المحتملة: battery old + alternator failure + parasitic drain + bad connection + starter motor failed. voiture ne démarre pas lumières faibles démarrage lent problèmes électriques Battery Discharge B1000,électricité,متوسط,B1000,mixed_ar_fr_dz
6,Transmission Slipping la boite katla tros ma ydkhlouch el moteur yrdou bla ma ytharrak sout f la boite انزلاق ناقل الحركة ، تأخر الدخول في التروس ، ارتفاع الدورات ، صوت غريب. الأسباب المحتملة: transmission fluid low + clutch worn + torque converter failed + solenoid failure + band adjustment needed. glissement de boîte engagement retardé montée RPM bruit en vitesse Transmission Slipping P0730,transmission,عالي,P0730,mixed_ar_fr_dz
7,Catalytic Converter Efficiency Low daw el moteur control ma3adch yn7 rihet thina el moteur ma3adch ykhdem mlih ضوء المحرك ، فشل اختبار الانبعاثات ، رائحة بيض فاسد ، انخفاض الأداء. الأسباب المحتملة: catalytic converter damaged + oxygen sensor failed + engine running rich + coolant in exhaust. voyant moteur contrôle technique raté odeur oeuf pourri baisse performance Catalytic Converter Efficiency Low P0420,échappement,متوسط,P0420,mixed_ar_fr_dz
8,Oil Pressure Low daw el zit el moteur ydoq zit ykhlas bi sraa dkhane men el moteur تحذير ضغط الزيت ، دق في المحرك ، استهلاك عالي للزيت ، دخان من المحرك. الأسباب المحتملة: oil level low + oil pump failure + oil filter clogged + engine bearing worn + oil leak. voyant pression huile claquement moteur consommation huile élevée fumée moteur Oil Pressure Low P0520,moteur,حرج,P0520,mixed_ar_fr_dz
9,Power Steering Failure el volant thqil sout f la direction el volant yrdua tomobile tnjerf ثقل التوجيه ، صوت طنين عند الدوران ، اهتزاز المقود ، انجراف السيارة. الأسباب المحتملة: power steering fluid low + power steering pump failure + steering rack leak + belt broken + EPS motor failed. direction lourde bruit en tournant vibration direction voiture dérive Power Steering Failure C0710,direction,عالي,C0710,mixed_ar_fr_dz
10,AC Not Cooling la clim ma tbardach sout f la clim rihet gaz el 7ar f tomobile لا هواء بارد ، صوت ضاغط التكييف ، رائحة الغاز ، حرارة داخل السيارة. الأسباب المحتملة: refrigerant leak + compressor failed + condenser blocked + expansion valve stuck + blower motor failed. pas d'air froid bruit compresseur odeur réfrigérant habitacle chaud AC Not Cooling B1420,climatisation,منخفض,B1420,mixed_ar_fr_dz
11,Suspension Noise sout f el trous el kawetch meshi mlih tomobile traqas rdua f la vitesse طرق على المطبات ، تآكل غير منتظم للإطارات ، ارتداد السيارة ، اهتزاز بالسرعة. الأسباب المحتملة: shock absorber worn + ball joint worn + control arm bushing failed + strut broken + stabilizer bar link. cloquement sur bosses usure pneus irrégulière voiture rebondit vibration à vitesse Suspension Noise C0200,suspension,متوسط,C0200,mixed_ar_fr_dz
12,Fuel Injector Leak rihet lessance qwiya dkhane khal el moteur ma yekhdemch mlih lessance ykhlas bi sraa رائحة قوية للوقود ، دخان أسود ، خشونة المحرك ، استهلاك عالي. الأسباب المحتملة: injector O-ring failed + injector stuck open + injector body cracked + high fuel pressure. forte odeur essence fumée noire moteur rugueux consommation élevée Fuel Injector Leak P0201,carburant,عالي,P0201,mixed_ar_fr_dz
13,Timing Belt/Chain Failure el moteur ma yehdarch sout f el moteur el moteur ma ykhdemch 7did f el zit المحرك لا يشتغل ، صوت طرقعة ، فشل الإشعال ، شظايا معدنية في الزيت. الأسباب المحتملة: timing belt broken + timing chain stretched + tensioner failed + idler pulley failed + improper installation. moteur ne démarre pas bruit de cliquetis ratés moteur débris métalliques dans huile Timing Belt/Chain Failure P0016,moteur,حرج,P0016,mixed_ar_fr_dz
14,Radiator Leak maya ta7at tomobile el ma7raka 7anna riha 7elwa dkhane abyad بركة مياه تحت السيارة ، ارتفاع الحرارة ، رائحة حلوة ، دخان أبيض. الأسباب المحتملة: radiator cracked + radiator hose burst + radiator cap failed + coolant boiling + freeze plug corroded. flaque sous voiture surchauffe odeur sucrée fumée blanche Radiator Leak P0218,refroidissement,عالي,P0218,mixed_ar_fr_dz
15,Alternator Failure daw la batterie anwar daw3ifin f tariq tomobile twaqfet kol 7aja ma t3adch tkhdem تحذير البطارية ، ضعف الإضاءة عند القيادة ، توقف السيارة ، خلل الإكسسوارات. الأسباب المحتملة: alternator worn + belt broken + voltage regulator failed + diode failure + poor ground connection. voyant batterie lumières faiblissent en roulant voiture cale accessoires défaillants Alternator Failure P0620,électricité,عالي,P0620,mixed_ar_fr_dz
16,Mass Air Flow Sensor Failure el wakfa meshi mlih el tomobile ma tet7araknach mlih dkhane khal lessance ykhlas bezaf خمول غير منتظم ، تسارع ضعيف ، دخان أسود ، زيادة استهلاك الوقود. الأسباب المحتملة: MAF sensor dirty + MAF sensor failed + air leak after MAF + wiring issue. ralenti instable accélération difficile fumée noire surconsommation Mass Air Flow Sensor Failure P0100,moteur,متوسط,P0100,mixed_ar_fr_dz
17,ABS System Failure daw ABS el frana traqas el tomobile ma twaqfach bi sraa ABS ykhdem bla ma ykoun lazem تحذير ABS ، اهتزاز دواسة الفرامل ، مسافة توقف أطول ، تفعيل ABS بدون سبب. الأسباب المحتملة: wheel speed sensor failed + ABS module failed + tone ring damaged + wiring harness issue + brake fluid contaminated. voyant ABS pédale vibre distance freinage augmentée ABS s'active inutilement ABS System Failure C0031,freinage,عالي,C0031,mixed_ar_fr_dz
18,Clutch Failure el debrayage yenzlaq el tros ma ydkhlouch rihet 7arqa el debrayage rayeg انزلاق القابض ، صعوبة تغيير التروس ، رائحة احتراق ، دواسة القابض طرية. الأسباب المحتملة: clutch plate worn + pressure plate failed + release bearing failed + clutch cable/hydraulic issue + flywheel damaged. embrayage patine passage vitesse difficile odeur de brûlé pédale molle Clutch Failure P0810,transmission,عالي,P0810,mixed_ar_fr_dz
19,Fuel Pump Failure tomobile twaqaf f el tla3a ma tebdach mlih ma fi pressions el moteur ykhnek f les montées السيارة تتوقف في المنحدرات ، صعوبة الاشتغال ، لا ضغط وقود ، تعثر المحرك. الأسباب المحتملة: fuel pump motor failed + fuel pump relay failed + fuel pump strainer clogged + wiring issue + fuel tank contaminated. voiture cale en côte démarrage difficile pas de pression carburant moteur crachouille Fuel Pump Failure P0230,carburant,عالي,P0230,mixed_ar_fr_dz
20,Oxygen Sensor Failure daw el moteur lessance ykhlas bezaf el wakfa meshi mlih control ma3adch yn7 ضوء المحرك ، استهلاك سيء للوقود ، خمول غير منتظم ، فشل اختبار الانبعاثات. الأسباب المحتملة: O2 sensor failed + exhaust leak before sensor + engine coolant leak + wiring issue + catalytic converter failed. voyant moteur mauvaise consommation ralenti instable contrôle technique raté Oxygen Sensor Failure P0141,moteur,متوسط,P0141,mixed_ar_fr_dz
21,Head Gasket Blown dkhane abyad men l'echappement el zit kla7lib maya f el zit el ma7raka 7anna bouillonnement f radiateur دخان أبيض من العادم ، زيت حليبي اللون ، سائل تبريد في الزيت ، ارتفاع الحرارة ، فقاعات في الراديتير. الأسباب المحتملة: engine overheated + head bolt failure + poor head gasket installation + warped cylinder head + age and high mileage. fumée blanche échappement huile laiteuse liquide de refroidissement dans huile surchauffe bulles radiateur Head Gasket Blown P0299,refroidissement,حرج,P0299,mixed_ar_fr_dz
22,Starter Motor Failure sout clic ki tebda ma fi 7aja el moteur ydemar bs ma yebdach sout el fermage صوت نقر عند الاشتغال ، لا استجابة ، الدوار يعمل لكن المحرك لا يشتغل ، صوت طحن. الأسباب المحتملة: starter motor brushes worn + starter solenoid failed + ring gear damaged + starter relay failed + bad ground. clic en démarrant moteur ne tourne pas démarreur tourne mais moteur ne part pas bruit de grincement Starter Motor Failure B1460,électricité,متوسط,B1460,mixed_ar_fr_dz
23,Wheel Bearing Failure sout ki tethadrak el sout yetbadal ki tdur rdua la roue ma3adch drusta صوت طنين بالسرعة ، تغير الصوت عند التوجيه ، اهتزاز ، تذبذب العجل. الأسباب المحتملة: wheel bearing worn + bearing seal failed + improper installation + impact damage + lack of lubrication. bourdonnement à vitesse bruit change en tournant vibration roue qui vacille Wheel Bearing Failure C0045,suspension,عالي,C0045,mixed_ar_fr_dz
