id_car,categorie,sous_categorie,nom_francais,description_darija,description_arabe,mots_cles_fr,codes_obd,niveau_gravite,action_recommandee,source,repair_cost_dzd,urgency
1,moteur,engine,Multiple Cylinder Misfire,el moteur yrja3|chuga3 f waqt el wakfa|khsara f el qowa|daw el moteur dayer,المحرك يرتجف ، اهتزاز عند التشغيل ، فقدان القوة ، ضوء المحرك مضيء. الأسباب المحتملة: spark plugs worn + ignition coil failure + fuel injector clogged + vacuum leak + low compression.,moteur tremble|ralenti rugueux|perte de puissance|voyant allumé|Multiple Cylinder Misfire,P0300,حرج,تغيير شمعات الإشعال وفحص ملفات الإشعال والحاقنات,diagcar_2026_complete,8000-25000,immediate
2,carburant,fuel,Low Fuel Rail Pressure,el moteur ykhnek|saber ydemar|dkhane khal|rihet lessance,المحرك يتعثر ، صعوبة التشغيل ، دخان أسود ، رائحة وقود. الأسباب المحتملة: fuel pump weak + fuel filter clogged + fuel pressure regulator failed + injector leak.,moteur hoquète|démarrage difficile|fumée noire|odeur essence|Low Fuel Rail Pressure,P0087,عالي,فحص مضخة الوقود والفلتر ومنظم الضغط,diagcar_2026_complete,5000-18000,urgent
3,moteur,engine,Engine Overheating,el ma7raka 7anna|dkhane men el kapo|rihet l'eau|el moteur ma3adch ykhdem,مؤشر الحرارة في الأحمر ، بخار من الغطاء ، رائحة سائل التبريد ، فقدان القدرة. الأسباب المحتملة: coolant leak + water pump failure + thermostat stuck + radiator blocked + head gasket blown.,jauge température rouge|vapeur du capot|odeur liquide de refroidissement|perte puissance|Engine Overheating,P0217,حرج,إيقاف السيارة فوراً وفحص سائل التبريد والمضخة,diagcar_2026_complete,15000-80000,immediate
4,freinage,brakes,Brake System Failure,el frana rayga|tomobile tnjerf|sout el frana|tewaqaf b3id,دواسة الفرامل طرية ، السيارة تنجرف ، صوت طحن ، مسافة التوقف أطول. الأسباب المحتملة: brake pads worn + brake fluid low + brake disc warped + brake caliper seized + ABS failure.,pédale molle|voiture tire d'un côté|bruit de grincement|distance freinage augmentée|Brake System Failure,C0035,حرج,فحص فوري لتيل الفرامل والوسادات والأقراص,diagcar_2026_complete,6000-35000,immediate
5,électricité,electrical,Battery Discharge,tomobile ma tbdach|anwar daw3ifin|el moteur ydemar b3as|mushkilat el kahrabiya,السيارة لا تشتغل ، إضاءة خافتة ، تشغيل بطيء ، مشاكل كهربائية. الأسباب المحتملة: battery old + alternator failure + parasitic drain + bad connection + starter motor failed.,voiture ne démarre pas|lumières faibles|démarrage lent|problèmes électriques|Battery Discharge,B1000,متوسط,فحص البطارية والمولد والاتصالات الكهربائية,diagcar_2026_complete,4000-20000,moderate
6,transmission,transmission,Transmission Slipping,la boite katla|tros ma ydkhlouch|el moteur yrdou bla ma ytharrak|sout f la boite,انزلاق ناقل الحركة ، تأخر الدخول في التروس ، ارتفاع الدورات ، صوت غريب. الأسباب المحتملة: transmission fluid low + clutch worn + torque converter failed + solenoid failure + band adjustment needed.,glissement de boîte|engagement retardé|montée RPM|bruit en vitesse|Transmission Slipping,P0730,عالي,فحص زيت ناقل الحركة والقابض وأجهزة الاستشعار,diagcar_2026_complete,25000-150000,urgent
7,échappement,exhaust,Catalytic Converter Efficiency Low,daw el moteur|control ma3adch yn7|rihet thina|el moteur ma3adch ykhdem mlih,ضوء المحرك ، فشل اختبار الانبعاثات ، رائحة بيض فاسد ، انخفاض الأداء. الأسباب المحتملة: catalytic converter damaged + oxygen sensor failed + engine running rich + coolant in exhaust.,voyant moteur|contrôle technique raté|odeur oeuf pourri|baisse performance|Catalytic Converter Efficiency Low,P0420,متوسط,فحص المحول الحفازي وأجهزة استشعار الأكسجين,diagcar_2026_complete,20000-60000,moderate
8,moteur,engine,Oil Pressure Low,daw el zit|el moteur ydoq|zit ykhlas bi sraa|dkhane men el moteur,تحذير ضغط الزيت ، دق في المحرك ، استهلاك عالي للزيت ، دخان من المحرك. الأسباب المحتملة: oil level low + oil pump failure + oil filter clogged + engine bearing worn + oil leak.,voyant pression huile|claquement moteur|consommation huile élevée|fumée moteur|Oil Pressure Low,P0520,حرج,إيقاف السيارة فوراً وفحص مستوى الزيت والمضخة,diagcar_2026_complete,3000-120000,immediate
9,direction,steering,Power Steering Failure,el volant thqil|sout f la direction|el volant yrdua|tomobile tnjerf,ثقل التوجيه ، صوت طنين عند الدوران ، اهتزاز المقود ، انجراف السيارة. الأسباب المحتملة: power steering fluid low + power steering pump failure + steering rack leak + belt broken + EPS motor failed.,direction lourde|bruit en tournant|vibration direction|voiture dérive|Power Steering Failure,C0710,عالي,فحص زيت التوجيه والمضخة وحزام المحرك,diagcar_2026_complete,8000-40000,urgent
10,climatisation,ac,AC Not Cooling,la clim ma tbardach|sout f la clim|rihet gaz|el 7ar f tomobile,لا هواء بارد ، صوت ضاغط التكييف ، رائحة الغاز ، حرارة داخل السيارة. الأسباب المحتملة: refrigerant leak + compressor failed + condenser blocked + expansion valve stuck + blower motor failed.,pas d'air froid|bruit compresseur|odeur réfrigérant|habitacle chaud|AC Not Cooling,B1420,منخفض,فحص شحن الغاز والضاغط ومكثف التكييف,diagcar_2026_complete,5000-30000,low
11,suspension,suspension,Suspension Noise,sout f el trous|el kawetch meshi mlih|tomobile traqas|rdua f la vitesse,طرق على المطبات ، تآكل غير منتظم للإطارات ، ارتداد السيارة ، اهتزاز بالسرعة. الأسباب المحتملة: shock absorber worn + ball joint worn + control arm bushing failed + strut broken + stabilizer bar link.,cloquement sur bosses|usure pneus irrégulière|voiture rebondit|vibration à vitesse|Suspension Noise,C0200,متوسط,فحص المساعدين وكرات التعليق والمحاور,diagcar_2026_complete,6000-28000,moderate
12,carburant,fuel,Fuel Injector Leak,rihet lessance qwiya|dkhane khal|el moteur ma yekhdemch mlih|lessance ykhlas bi sraa,رائحة قوية للوقود ، دخان أسود ، خشونة المحرك ، استهلاك عالي. الأسباب المحتملة: injector O-ring failed + injector stuck open + injector body cracked + high fuel pressure.,forte odeur essence|fumée noire|moteur rugueux|consommation élevée|Fuel Injector Leak,P0201,عالي,تغيير الحاقنات والختم وفحص ضغط الوقود,diagcar_2026_complete,8000-22000,urgent
13,moteur,engine,Timing Belt/Chain Failure,el moteur ma yehdarch|sout f el moteur|el moteur ma ykhdemch|7did f el zit,المحرك لا يشتغل ، صوت طرقعة ، فشل الإشعال ، شظايا معدنية في الزيت. الأسباب المحتملة: timing belt broken + timing chain stretched + tensioner failed + idler pulley failed + improper installation.,moteur ne démarre pas|bruit de cliquetis|ratés moteur|débris métalliques dans huile|Timing Belt/Chain Failure,P0016,حرج,تغيير فوري لحزام/سلسلة التوقيت مع الشدادات,diagcar_2026_complete,25000-80000,immediate
14,refroidissement,cooling,Radiator Leak,maya ta7at tomobile|el ma7raka 7anna|riha 7elwa|dkhane abyad,بركة مياه تحت السيارة ، ارتفاع الحرارة ، رائحة حلوة ، دخان أبيض. الأسباب المحتملة: radiator cracked + radiator hose burst + radiator cap failed + coolant boiling + freeze plug corroded.,flaque sous voiture|surchauffe|odeur sucrée|fumée blanche|Radiator Leak,P0218,عالي,إصلاح أو تبديل الرادياتور وخراطيم التبريد,diagcar_2026_complete,8000-35000,urgent
15,électricité,electrical,Alternator Failure,daw la batterie|anwar daw3ifin f tariq|tomobile twaqfet|kol 7aja ma t3adch tkhdem,تحذير البطارية ، ضعف الإضاءة عند القيادة ، توقف السيارة ، خلل الإكسسوارات. الأسباب المحتملة: alternator worn + belt broken + voltage regulator failed + diode failure + poor ground connection.,voyant batterie|lumières faiblissent en roulant|voiture cale|accessoires défaillants|Alternator Failure,P0620,عالي,تغيير المولد وفحص الحزام والتوصيلات,diagcar_2026_complete,12000-35000,urgent
16,moteur,engine,Mass Air Flow Sensor Failure,el wakfa meshi mlih|el tomobile ma tet7araknach mlih|dkhane khal|lessance ykhlas bezaf,خمول غير منتظم ، تسارع ضعيف ، دخان أسود ، زيادة استهلاك الوقود. الأسباب المحتملة: MAF sensor dirty + MAF sensor failed + air leak after MAF + wiring issue.,ralenti instable|accélération difficile|fumée noire|surconsommation|Mass Air Flow Sensor Failure,P0100,متوسط,تنظيف أو تغيير مستشعر تدفق الهواء,diagcar_2026_complete,5000-18000,moderate
17,freinage,brakes,ABS System Failure,daw ABS|el frana traqas|el tomobile ma twaqfach bi sraa|ABS ykhdem bla ma ykoun lazem,تحذير ABS ، اهتزاز دواسة الفرامل ، مسافة توقف أطول ، تفعيل ABS بدون سبب. الأسباب المحتملة: wheel speed sensor failed + ABS module failed + tone ring damaged + wiring harness issue + brake fluid contaminated.,voyant ABS|pédale vibre|distance freinage augmentée|ABS s'active inutilement|ABS System Failure,C0031,عالي,فحص مستشعرات السرعة ووحدة ABS,diagcar_2026_complete,8000-45000,urgent
18,transmission,transmission,Clutch Failure,el debrayage yenzlaq|el tros ma ydkhlouch|rihet 7arqa|el debrayage rayeg,انزلاق القابض ، صعوبة تغيير التروس ، رائحة احتراق ، دواسة القابض طرية. الأسباب المحتملة: clutch plate worn + pressure plate failed + release bearing failed + clutch cable/hydraulic issue + flywheel damaged.,embrayage patine|passage vitesse difficile|odeur de brûlé|pédale molle|Clutch Failure,P0810,عالي,تغيير طقم القابض كاملاً,diagcar_2026_complete,18000-55000,urgent
19,carburant,fuel,Fuel Pump Failure,tomobile twaqaf f el tla3a|ma tebdach mlih|ma fi pressions|el moteur ykhnek f les montées,السيارة تتوقف في المنحدرات ، صعوبة الاشتغال ، لا ضغط وقود ، تعثر المحرك. الأسباب المحتملة: fuel pump motor failed + fuel pump relay failed + fuel pump strainer clogged + wiring issue + fuel tank contaminated.,voiture cale en côte|démarrage difficile|pas de pression carburant|moteur crachouille|Fuel Pump Failure,P0230,عالي,تغيير مضخة الوقود وفحص الخزان,diagcar_2026_complete,10000-28000,urgent
20,moteur,engine,Oxygen Sensor Failure,daw el moteur|lessance ykhlas bezaf|el wakfa meshi mlih|control ma3adch yn7,ضوء المحرك ، استهلاك سيء للوقود ، خمول غير منتظم ، فشل اختبار الانبعاثات. الأسباب المحتملة: O2 sensor failed + exhaust leak before sensor + engine coolant leak + wiring issue + catalytic converter failed.,voyant moteur|mauvaise consommation|ralenti instable|contrôle technique raté|Oxygen Sensor Failure,P0141,متوسط,تغيير مستشعر الأكسجين وفحص عوادم السيارة,diagcar_2026_complete,4000-15000,moderate
21,refroidissement,cooling,Head Gasket Blown,dkhane abyad men l'echappement|el zit kla7lib|maya f el zit|el ma7raka 7anna|bouillonnement f radiateur,دخان أبيض من العادم ، زيت حليبي اللون ، سائل تبريد في الزيت ، ارتفاع الحرارة ، فقاعات في الراديتير. الأسباب المحتملة: engine overheated + head bolt failure + poor head gasket installation + warped cylinder head + age and high mileage.,fumée blanche échappement|huile laiteuse|liquide de refroidissement dans huile|surchauffe|bulles radiateur|Head Gasket Blown,P0299,حرج,إصلاح أو تغيير جاونة الرأس — إصلاح مكلف جداً,diagcar_2026_complete,40000-120000,immediate
22,électricité,electrical,Starter Motor Failure,sout clic ki tebda|ma fi 7aja|el moteur ydemar bs ma yebdach|sout el fermage,صوت نقر عند الاشتغال ، لا استجابة ، الدوار يعمل لكن المحرك لا يشتغل ، صوت طحن. الأسباب المحتملة: starter motor brushes worn + starter solenoid failed + ring gear damaged + starter relay failed + bad ground.,clic en démarrant|moteur ne tourne pas|démarreur tourne mais moteur ne part pas|bruit de grincement|Starter Motor Failure,B1460,متوسط,تغيير موتور الاستارتر أو السولونويد,diagcar_2026_complete,6000-22000,moderate
23,suspension,suspension,Wheel Bearing Failure,sout ki tethadrak|el sout yetbadal ki tdur|rdua|la roue ma3adch drusta,صوت طنين بالسرعة ، تغير الصوت عند التوجيه ، اهتزاز ، تذبذب العجل. الأسباب المحتملة: wheel bearing worn + bearing seal failed + improper installation + impact damage + lack of lubrication.,bourdonnement à vitesse|bruit change en tournant|vibration|roue qui vacille|Wheel Bearing Failure,C0045,عالي,تغيير محمل العجلة — يجب الإصلاح الفوري,diagcar_2026_complete,5000-18000,urgent
24,moteur,engine,EGR Valve Failure,el wakfa meshi mlih|el moteur ydoq|daw el moteur|bezaf dkhane,خمول خشن ، دق في المحرك ، ضوء المحرك ، زيادة الانبعاثات. الأسباب المحتملة: EGR valve stuck closed + EGR valve stuck open + EGR passages clogged + EGR sensor failed.,ralenti rugueux|claquement moteur|voyant allumé|émissions augmentées|EGR Valve Failure,P0401,متوسط,تنظيف أو تغيير صمام EGR,diagcar_2026_complete,4000-16000,moderate
25,freinage,brakes,Brake Pad Worn Out,sout srakh f la frana|sout 7did|rdua ki tferni|el frana ma khdemach mlih,صوت صرير ، صوت احتكاك معدن ، اهتزاز عند الفرملة ، ضعف قدرة الفرملة. الأسباب المحتملة: brake pads completely worn + brake dust cover removed + indicator squealer worn + improper pad material.,bruit de crissement|grincement métallique|vibration au freinage|freinage moins efficace|Brake Pad Worn Out,C0110,عالي,تغيير وسادات الفرامل وفحص الأقراص,diagcar_2026_complete,3000-12000,urgent
26,moteur,engine,Throttle Body Failure,el moteur yet3ater|el wakfa meshi mlih|ma tet7araknach|tomobile twaqfet,تردد المحرك ، خمول غير منتظم ، تسارع ضعيف ، توقف مفاجئ. الأسباب المحتملة: throttle body dirty + throttle position sensor failed + throttle actuator failed + carbon buildup.,hésitation moteur|ralenti instable|mauvaise accélération|calage|Throttle Body Failure,P0120,متوسط,تنظيف أو تغيير جسم الخانق,diagcar_2026_complete,4000-20000,moderate
27,moteur,engine,Camshaft Position Sensor Failure,ma tebdach|el moteur twaqef|ma ykhdemch mlih|mushkila f tawkit,عدم الاشتغال ، توقف المحرك ، اضطراب التشغيل ، مشاكل التوقيت. الأسباب المحتملة: camshaft sensor failed + reluctor ring damaged + wiring issue + oil contamination on sensor.,ne démarre pas|calage|mauvais fonctionnement|problèmes calage distribution|Camshaft Position Sensor Failure,P0340,عالي,تغيير مستشعر عمود الكامة,diagcar_2026_complete,3500-14000,urgent
28,moteur,engine,Crankshaft Position Sensor Failure,el moteur ma yebdach|twaqef merra merra|el ishra3 ma ykhdemch|ma fi chrar,المحرك لا يشتغل ، توقف متقطع ، فشل الاشتعال ، لا شرارة. الأسباب المحتملة: crankshaft sensor failed + tone wheel damaged + wiring shorted + sensor gap incorrect.,moteur ne démarre pas|calage intermittent|ratés|pas d'étincelle|Crankshaft Position Sensor Failure,P0335,حرج,تغيير مستشعر عمود الكرنك,diagcar_2026_complete,3000-12000,immediate
29,moteur,engine,Intake Manifold Gasket Leak,sout f el moteur|el wakfa meshi mlih|el mazaj rqiq|el ma7raka 7anna,صوت تسرب فراغ ، خمول خشن ، خليط رفيع ، ارتفاع الحرارة. الأسباب المحتملة: intake gasket worn + manifold cracked + bolt loose + heat damage.,bruit de fuite vide|ralenti rugueux|mélange pauvre|surchauffe|Intake Manifold Gasket Leak,P0171,متوسط,تغيير جوانة مانيفولد الشفط,diagcar_2026_complete,5000-18000,moderate
30,moteur,engine,Valve Cover Gasket Leak,rihet zit 7areq|zit 3la les bougies|zit 3la el moteur|el wakfa meshi mlih,رائحة حرق زيت ، زيت على الشمعات ، بركة زيت على المحرك ، خمول خشن. الأسباب المحتملة: valve cover gasket worn + pcv valve clogged + overtightened bolts + heat damage.,odeur huile brûlée|huile sur bougies|flaque huile moteur|ralenti rugueux|Valve Cover Gasket Leak,P0301,متوسط,تغيير جوانة غطاء الصمام,diagcar_2026_complete,3000-10000,moderate
31,moteur,engine,PCV Valve Failure,zit ykhlas bi sraa|wissekh f el moteur|el wakfa meshi mlih|zit ynzel,استهلاك عالي للزيت ، طمي في المحرك ، خمول غير منتظم ، تسرب زيت. الأسباب المحتملة: PCV valve stuck closed + hose cracked + valve clogged with sludge.,consommation huile élevée|boue moteur|ralenti instable|fuites huile|PCV Valve Failure,P052E,منخفض,تغيير صمام PCV وفحص الخراطيم,diagcar_2026_complete,1500-6000,low
32,moteur,engine,Knock Sensor Failure,el moteur ydoq|el moteur ma ykhdemch mlih|khatar el ma7raka|daw el moteur,دق في المحرك ، أداء ضعيف ، خطر ارتفاع الحرارة ، ضوء المحرك. الأسباب المحتملة: knock sensor failed + wiring issue + carbon buildup + incorrect fuel octane.,cliquetis moteur|performances réduites|risque surchauffe|voyant allumé|Knock Sensor Failure,P0325,متوسط,تغيير مستشعر الطرق وفحص الوقود,diagcar_2026_complete,3000-12000,moderate
33,moteur,engine,Coolant Temperature Sensor Failure,dkhane khal|el ma7raka 7anna bla ma norfou|bezaf lessance|ma tebdach ki tkoun barida,دخان أسود ، عدم اكتشاف ارتفاع الحرارة ، استهلاك عالي ، صعوبة البدء البارد. الأسباب المحتملة: coolant temperature sensor failed + wiring corroded + coolant contaminated + sensor gap.,fumée noire|surchauffe non détectée|surconsommation|démarrage froid difficile|Coolant Temperature Sensor Failure,P0115,متوسط,تغيير مستشعر درجة حرارة سائل التبريد,diagcar_2026_complete,2500-9000,moderate
34,carburant,fuel,Fuel Cap Missing or Loose,daw el moteur|rihet lessance|lessance yetbakhar|mushkila EVAP,ضوء المحرك ، رائحة وقود ، تبخر الوقود ، خطأ نظام EVAP. الأسباب المحتملة: fuel cap loose + fuel cap seal worn + fuel cap missing + EVAP line cracked.,voyant moteur|odeur essence|évaporation carburant|erreur système EVAP|Fuel Cap Missing or Loose,P0457,منخفض,إحكام غطاء الخزان أو تغييره,diagcar_2026_complete,500-3000,low
35,carburant,fuel,EVAP System Leak,rihet lessance f tomobile|daw el moteur|control ma3adch yn7|lessance ykhlas,رائحة وقود داخل السيارة ، ضوء المحرك ، فشل اختبار الانبعاثات ، استهلاك سيء. الأسباب المحتملة: EVAP canister cracked + purge valve failed + vent valve stuck + hose disconnected.,odeur essence habitacle|voyant moteur|contrôle raté|mauvaise conso|EVAP System Leak,P0442,منخفض,فحص وإصلاح نظام EVAP,diagcar_2026_complete,3000-15000,low
36,carburant,fuel,Fuel Pressure Regulator Failure,dkhane khal|rihet lessance f l'echappement|ma tebdach mlih|lessance bezaf,دخان أسود ، رائحة وقود في العادم ، صعوبة الاشتغال ، فيضان الوقود. الأسباب المحتملة: pressure regulator diaphragm torn + regulator stuck open + regulator stuck closed + spring failed.,fumée noire|odeur essence échappement|démarrage difficile|noyage|Fuel Pressure Regulator Failure,P0089,عالي,تغيير منظم ضغط الوقود,diagcar_2026_complete,4000-14000,urgent
37,carburant,fuel,Diesel Glow Plug Failure,ma tebdach ki tkoun barida|dkhane abyad ki tebda|el wakfa meshi ki barda|daw el moteur,صعوبة البدء البارد ، دخان أبيض عند البدء ، خمول خشن عند البرودة ، ضوء المحرك. الأسباب المحتملة: glow plug burned out + glow plug relay failed + glow plug timer module failed + wiring issue.,démarrage froid difficile|fumée blanche démarrage|ralenti rugueux au froid|voyant allumé|Diesel Glow Plug Failure,P0380,متوسط,تغيير شمعات التسخين للديزل,diagcar_2026_complete,6000-22000,moderate
38,électricité,electrical,Ignition Coil Failure,el ishra3 ma ykhdemch|el moteur ma ykhdemch mlih|khsara f el qowa|daw el moteur yrqas,فشل الاشتعال ، اضطراب التشغيل ، فقدان القوة ، وميض ضوء المحرك. الأسباب المحتملة: ignition coil burned + coil boots cracked + spark plug gap wrong + moisture in coil.,raté d'allumage|mauvais fonctionnement|perte de puissance|voyant clignotant|Ignition Coil Failure,P0351,عالي,تغيير ملف الإشعال المعطل,diagcar_2026_complete,3500-15000,urgent
39,électricité,electrical,Fuse Box Failure,bezaf mushkilat el kahrabiya|el anwar ma ykhdemoch|kol 7aja twaqfet|el fusibles yehtrqo,أعطال كهربائية متعددة ، الإضاءة لا تعمل ، الإكسسوارات متوقفة ، احتراق مستمر للمصهرات. الأسباب المحتملة: fuse box corrosion + water damage + overload + rodent damage to wiring.,pannes électriques multiples|lumières ne fonctionnent pas|accessoires morts|fusibles qui sautent|Fuse Box Failure,B2799,متوسط,فحص وإصلاح علبة الفيوزات,diagcar_2026_complete,5000-35000,moderate
40,électricité,electrical,ECU/ECM Failure,tomobile ma tebdach|bezaf codes|el scanner ma ykhdemch|kol 7aja ma tkhdemch,السيارة لا تشتغل ، أكواد أعطال متعددة ، لا اتصال مع الماسح ، فشل جميع الأنظمة. الأسباب المحتملة: ECU water damage + ECU overheating + software corruption + power surge + short circuit.,voiture ne démarre pas|codes pannes multiples|pas de communication scanner|tous systèmes en panne|ECU/ECM Failure,P0600,حرج,إصلاح أو استبدال وحدة التحكم الإلكترونية,diagcar_2026_complete,30000-120000,immediate
41,électricité,electrical,Wiring Harness Damage,mushkilat kahrabiya merra merra|les voyants yedwro|court-circuit|rihet 7arqa,أعطال كهربائية متقطعة ، إضاءة تحذير عشوائية ، دوائر قصيرة ، رائحة احتراق. الأسباب المحتملة: rodent damage + heat damage + rubbing on metal + accident damage + improper repair.,pannes électriques intermittentes|voyants aléatoires|courts-circuits|odeur de brûlé|Wiring Harness Damage,U0100,عالي,فحص وإصلاح أسلاك التوصيل,diagcar_2026_complete,8000-60000,urgent
42,transmission,transmission,Automatic Transmission Fluid Leak,liquide 7mar ta7at tomobile|la boite tnzelag|la boite 7anna|tros ma ydkhlouch bi sraa,سائل أحمر تحت السيارة ، انزلاق ناقل الحركة ، ارتفاع حرارة الناقل ، تأخر الدخول. الأسباب المحتملة: transmission pan gasket leak + cooler line fitting loose + torque converter seal + output shaft seal.,fluide rouge sous voiture|boîte qui patine|boîte surchauffe|engagement retardé|Automatic Transmission Fluid Leak,P0868,عالي,إصلاح تسرب زيت ناقل الحركة التلقائي,diagcar_2026_complete,8000-40000,urgent
43,transmission,transmission,Torque Converter Failure,rja3 f la vitesse|khsara f el qowa|el ma7raka 7anna|el boite ma tkhdemch,ارتجاف بسرعة الطريق السريع ، فقدان القدرة ، ارتفاع الحرارة ، مشكلة القفل. الأسباب المحتملة: converter clutch worn + needle bearing failed + converter fluid contaminated + lockup solenoid failed.,tremblement à vitesse autoroute|perte puissance|surchauffe|problème verrouillage|Torque Converter Failure,P0741,عالي,تغيير محول العزم,diagcar_2026_complete,25000-80000,urgent
